Index,KAB_No,Type,C_per_T,Inductance,Py_Volts,Phase1,KVA1,Sy_Volts,Phase2,KVA2,Connections,Rating,Cooling,Th_Cl,KVA_average,Turns,V_per_T,HZ,No_of_Coils,Sections_per_coil,Turns_per_section,Sense_of_winding,Turns_per_layer,No_Of_Layers,Size_of_conductor,Insulation,No_Of_parall_conductors,Wt_of_cu_per_Al_conductor_in_Kg,Former,Coil_dia_inner,Coil_Dia_outer,Ht_of_section_axial,Depth_of_wtg_Radial,Inter_layer_insulation,Radial_spacing,Axial_spacing,Clearance_Bet_Sections,Yoke_clearance,Inter_connection_of_sections,Inter_connection_of_coils,Tappings,Connecting_wirers,Clearance_Bt_Ht_and_Lt,Clearance_in_window,Core,C_D,Ht,Grade,Percentage,Kg,Drg_No,Core_loss,Conductor_loss,Total_losses,Resistance,Ambiant,Windings,Oil,Ohms_at_C,Test_particulars,App_Py_E,App_Sy_E,Induced,Impulse,Specification,Clamp_No,Terminal_board_no,Assy_No,Date
43,KAB 2478,D.C FILTER,,1mH,38,single,,,,,,Cont,AN,F,,15+15=30,,300,2,one,15,L-R,15,one,10x4 Cu,F/G covered,2 ab,11.5,DRG.No:105 102 261-P20-2 Nos,79x157,98(100)x176(180),76(190),9.5,-,-,-,-,10,-,Series at Finish,-,Same conductor,-,20,70x120,120,210,M27 CRNGO 0.35 thick,96,52,DPD 105 102 401-P5,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,,,105 009 925 P14,14.03.2012
44,KAB 2477,CHARGER,,,415,3 Ph  Delta,,121.5,3 Ph  Star,37.56,Dy 11,Cont,AN,F,,159/27,2.61,50,"3 Py, 3 Sy","one,one","159,27","L-R,L-R","53,27","3,1","4x3 Cu,8x3 Cu","F/G covered, F/G covered","one, 3 ab","28,39",DRG.No: 105 102 413-P36-3 Nos,"109x137,155x183","135x163,179(185)x207(215)","265(280),252(280)","13,12","6 Mil Nomex,-",-,-,-,"10,10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,20,100x100,205,300,M27 CRNGO 0.35 thick,96,147,DPD 105 102 396-P13,300 W,1100 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 943 P7,12.03.2012
45,KAB 2475,CHARGER,,,415,3 Ph  Delta,,121.5,3 Ph  Star,8.59,Dy 11,Cont,AN,F,,242/41,1.7148,50,"3 Py, 3 Sy","one,one","242, 41","L-R, L-R","80 2/3 ,20 1/2","3,2","15 SWG Cu, 11 SWG Cu","SE,SE","one, 2ss","8.8 , 9.5",DRG.No: 105 102 372-P9-3 Nos,"79x137,115x173","95x153,131(135)x189(195)","178(190),145(190)","8,8","6 Mil Nomex,6 Mil Nomex",-,-,-,"10,10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,20,70x100,155,210,M27 CRNGO 0.35 thick,96,75,DPD 105 102 398 -P1,150 W,370 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930 P4,05.03.2012
46,KAB 2474,D.C FILTER,,2mH,38,single,,,,,,Cont,AN,F,,,,300,one,one,37,L-R,7 1/2,5,12x4 Cu,F/G overed,one ,6.8,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56x107,104x155,110,24,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,7,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos","205 603 337,1 No",105 009 402 *,08.03.2012
47,KAB 2473,CHARGER,,,415,3 Ph  Delta,,,3 Ph  Star,23.61,Dy 11,Cont,AN,F,,2.34,2.34,50,"3 Py, 3 Sy","one,one","177,30","L-R,L-R","59,15","3,2","10 SWG, 12x4 Cu","SE, F/G covered","one,one","22,27.5",DRG.No: 105 102 372-P25-3 Nos,"79x167,117x205","105x193,139(145)x227(235)","218(230),208(230)","13,11","6 Mil Nomex,6 Mil Nomex",-,-,-,"10,10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",6 thick F/G duct,20,70x130,165,250,M27 CRNGO 0.35 thick,96,108,DPD 105 102 398-P7,220 W,650 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930 P21,03.03.2012
48,KAB 2472,D.C FILTER,,0.5mH,45,single,,,,,,Cont,AN,F,,14+14=28,,300,2,one,14,L-R,14,one,12x4 Cu,F/G covered,3 ab,20.5,DRG.No:105 102 413-P35-2 Nos,109x137,138(144)X166(175),195(210),14.5,-,-,-,-,9,-,Series at Finish,-,Same conductor,-,20,100x100,164,228,M27 CRNGO 0.35 thick,96,73.5,DPD 105 102 420-P2,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,,,105 009 939 P3,06.03.2012
49,KAB 2471,CHARGER,,,415,3 Ph  Delta,,121.5,3 Ph  Star,60.1,Dy 11,Cont,AN,F,,130/22,3.192,50,"3 Py, 3 Sy","one,one","130,22","L-R, L-R","32 1/2, 22","4, 1","7x3 Cu, 10x4 Cu","F/G covered, F/G covered","one, 3ab","45, 61",DRG.No:105 102 413-P34-3 Nos,"109x162, 165x218","145x198, 194(200)x247(255)","266(280), 250(280)","18, 14.5","6 Mil Nomex, -",-,-,-,"10,10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,20,100x125,220,300,M27 CRNGO 0.35 thick,96,190,DPD 105 102 396-P12,380 W,1500 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 943 P6,01.03.2012
50,KAB 2470,INPUT SERIES,,0.92mH,5.5,single,,,,,,Cont,AN,H,,23,,50,one,one,23,L-R,12,2,10 SWG Cu,SE ,one,0.5,"Std bobbin suitable for Type-16,2 1/2""stack-F/G-1 No",44x70,60x86,52,8,6 Mil class-'H' insulation,-,-,-,-,-,-,-,Same conductor,-,4,"Type 16,2 1/2"" stack",-,-,51 CRGO,96,4.95,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 337,4 Nos","205 603 334,1 Nos",105 009 387 *,08.02.2012
51,KAB 2470,INPUT SERIES,,0.92mH,5.5,single,,,,,,Cont,AN,H,,23,,50,one,one,23,L-R,12,2,10 SWG Cu,SE ,one,0.5,"Std bobbin suitable for Type-16,2 1/2""stack-F/G-1 No",44x70,60x86,52,8,6 Mil class-'H' insulation,-,-,-,-,-,-,-,Same conductor,-,4,"Type 16,2 1/2"" stack",-,-,51 CRGO,96,4.95,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 337,4 Nos","205 603 334,1 Nos",105 009 387 *,08.02.2012
52,KAB 2469,INVERTER(SVS),,,187,3 Ph  Delta,,46,3 Ph  Sep.leads,,,Cont,AN,H,,162/40,1.154,50,"3Py, 3Sy","one, one","162,40","L-R,L-R","54,20","3,2","12 SWG Cu, 7x3 Cu","SE, F/G covered","one, one","10.5, 12.5",DRG.No:105 102 413-P24-3 Nos,"79x102,112x135","100x123,130(1.35)x153(160)","166(190),166(190)","10.5,9","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10,10",-,"Delta, Separate leads",-,"Same conductor,Same conductor",6 thick F/G duct,20,70x65,155,210,41 CRGO,96,49,DPD 105 102 287-P26,60 W,350 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930-P19,03.02.2012
53,KAB 2469,INVERTER,,,187,3 Ph  Delta,,7.5,3 Ph  Sep.leads,,,Cont,AN,H,,162/40,1.154,50,"3Py, 3Sy","one, one","162,40","L-R,L-R","54,20","3,2","12 SWG Cu, 7x3 Cu","SE, F/G covered","one, one","10.5, 12.5",DRG.No:105 102 413-P24-3 Nos,"79x102,112x135","100x123,130(1.35)x153(160)","166(190),166(190)","10.5,9","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10,10",-,"Delta, Separate leads",-,"Same conductor,Same conductor",6 thick F/G duct,20,70x65,155,210,41 CRGO,96,49,DPD 105 102 287-P26,60 W,350 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930-P19,03.02.2012
54,KAB 2468,MAIN,,,415,3 Ph  Delta,,37.5,3 Ph  Star-N,,Dy 5,Cont,AN,H,,166/51-87,2.5,50,"3Py, 3Sy","one, one","166, 87","L-R, L-R","41 1/2, 29","4, 3","4x3 Cu, 7x3 Cu","F/G covered, F/G covered","one, one","31.5, 39",DRG.No:105 102 316-P37-3 Nos,"79x177, 135x233","115x213, 162(165)x260(265)","210(260), 240(260)","18, 13.5","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10,10",-,"Delta, Star at Finish"," -,at 51","Same conductor,Same conductor",10 thick F/G duct,20,70x140,185,280,41 CRGO,96,130,DPD 105 102 340-P35,60 W,1150 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 943 P5,01.02.2012
55,KAB 2467,INPUT SERIES,,0.24mH,7.5,single,,,,,,Cont,AN,H,,12,,50,one,one,12,L-R,12,one,7x3 Cu,F/G covered,2 ab,1.8,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56x107,72x123,110,12,-,-,-,-,-,-,-,-,Same conductor,-,18,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos","205 603 337,1 No",105 009 402 *,07.02.2012
56,KAB 2467,INPUT SERIES,,0.24mH,7.5,single,,,,,,Cont,AN,H,,12,,50,one,one,12,L-R,12,one,7x3 Cu,F/G covered,2 ab,1.8,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56x107,72x123,110,12,-,-,-,-,-,-,-,-,Same conductor,-,18,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 326, 4 Nos","205 603 337, 1 No",105 009 402 *,07.02.2012
57,KAB 2466,OUTPUT SERIES,,0.916mH,12,single,,,,,,Cont,AN,H,,24,,50,one,one,24,L-R,7,4,7x3 Cu,F/G covered,one,1.7,"Std bobbin suitable for Type-43,3""stack-F/G-1 No",56x82,90x116,68,17,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,2,"Type-43,3"" stack",-,-,51  CRGO,96,8.6,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 335,4 Nos","205 603 338, 1 No",105 009 379*,04.02.2012
58,KAB 2466,OUTPUT SERIES,,0.916mH,12,single,,,,,,Cont,AN,H,,24,,50,one,one,24,L-R,7,4,7x3 Cu,F/G covered,one,1.7,"Std bobbin suitable for Type-43,3""stack-F/G-1 No",56x82,90x116,68,17,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,2,"Type-43,3"" stack",-,-,51 CRGO,96,8.6,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 335,4 Nos","205 603 338, 1 No",105 009 379*,04.02.2012
59,KAB 2465,CHARGER,,,415,3 Ph  star,,252,3 Ph  Delta,51.94,Y d1,Cont,AN,H,,91/96,2.63,50,"3 Py, 3 Sy","one, one","91,96","L-R, L-R","30 1/3, 32","3,3","7x4 Cu, 7x4 Cu","F/G covered, F/G covered","one, one","40, 57",DRG.No:105 102 413 -P32-3 Nos,"109x147, 161x199","141x179, 193(200)x231(240)","252(280),264(280)","16, 16","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10, 10",-,"Star at Finish, Delta",-,"Same conductor,Same conductor",10 thick F/G duct,20,100x110,220,300,41 CRGO,96,167,DPD 105 102 340-P34,200 W,1600 w,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 943 P4,28.01.2012
60,KAB 2465,CHARGER,,,415,3 Ph  star,,252,3 Ph  Delta,51.94,Y d1,Cont,AN,H,,91/96,2.63,50,"3 Py, 3 Sy","one, one","91,96","L-R, L-R","30 1/3, 32","3,3","7x4 Cu, 7x4 Cu","F/G covered, F/G covered","one, one","40, 57",DRG.No:105 102 413 -P32-3 Nos,"109x147, 161x199","141x179, 193(200)x231(240)","252(280),264(280)","16, 16","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10, 10",-,"Star at Finish, Delta",-,"Same conductor,Same conductor",10 thick F/G duct,20,100x110,220,300,41 CRGO,96,167,DPD 105 102 340-P34,200 W,1600 w,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 943 P4,28.01.2012
61,KAB 2464,INVERTER,,,220,3 Ph  Delta,,415,3 Ph  Star-N,37.45,Dy 11,Cont,AN,H,,89/97,2.472,50,"3 Py, 3 Sy","one, one","89,97","L-R, L-R","29 2/3,32 1/3","3,3","7x3 Cu, 7x4 Cu","F/G covered, F/G covered","one, one","28.5, 41.5",DRG.No:105 102 261 -P31-3 Nos,"79x177, 126x224","106x204, 153(160)x251(260)","242(280), 268(280)","13.5, 13.5","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10,10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,20,70x140,180,300,41 CRGO,96,132,DPD 105 102 340-P33,160 W,1100 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 943-P3,25.01.2012
62,KAB 2464,INVERTER,,,220,3 Ph  Delta,,415,3 Ph  Star-N,37.45,Dy 11,Cont,AN,H,,89/97,2.472,50,"3 Py, 3 Sy","one, one","89,97","L-R, L-R","29 2/3,32 1/3","3,3","7x3 Cu, 7x4 Cu","F/G covered, F/G covered","one, one","28.5, 41.5",DRG.No:105 102 261 -P31-3 Nos,"79x177, 126x224","106x204, 153(160)x251(260)","242(280), 268(280)","13.5, 13.5","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10,10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,20,70x140,180,300,41 CRGO,96,132,DPD 105 102 340-P33,160 W,1100 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 943-P3,25.01.2012
63,KAB 2463,INPUT SERIES,,0.32mH,5,single,,,,,,Cont,AN,H,,17,,50,one,one,17,L-R,7,3,7x3 Cu,F/G covered,one,1,"Std bobbin suitable for Type-43,sq.stack-F/G-1 Nos",56x56,83x83,68,13.5,6 Mil class-'H' insulation,-,-,-,-,-,-,-,Same conductor,-,5,"Type-43,sq.stack",-,-,51 CRGO,96,5.7,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 335,4 Nos","205 603 338,1 No",105 009 375,11.02.2012
64,KAB 2462,INVERTER,,,154,single,,230,single,10,,Cont,AN,H,,80/120,1.925,50,"2 Py, 2 Sy","one, one","40,60","L-R, L-R","20,30","2,2","10x3 Cu, 7x3 Cu","F/G covered, F/G covered","one, one","11,14",DRG.No:105 102 316-P24-2 Nos,"79x147, 108x176","96x164, 125(130)x193(200)","230(260), 248(260)","8.5, 8.5","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10,10",-,"Series at Finish, Series at Finish",-,"Same conductor,Same conductor",6 thick F/G duct,20,70x110,150,280,41 CRGO,96,59.5,DPD 105 102 417-P2,75 W,300 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 938 P2,10.02.2012
65,KAB 2461,CHARGER,,,415,3 Ph  Star-N,,168,3 Ph  Delta,13.67,Y d1,Cont,AN,H,,134/94,1.788,50,"3 Py, 3 Sy","one, one","134,94","L-R, L-R","67,47","2,2","10 SWG Cu,4x3 Cu","SE, F/G covered","one, one","14.5, 18",DRG.No:105 102 413-P33F/G-3 Nos,"79x137,108x166","96x154,125(130)x183(190)","245(260), 240(260)","8.5, 8.5","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10,10",-,"Star at Finish, Delta",-,"Same conductor,Same conductor",6 thick F/G duct,20,70x100,150,280,41 CRGO,96,86,DPD 105 102 287-P27,100 W,450 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930 P20,09.02.2011
66,KAB 2460,AUXILIARY,,,230,single,,110,single,0.5,,Cont,AN,H,,250/120,0.92,50,"one Py, one Sy","one, one","250,120","L-R, L-R","50, 33","5, 4","19 SWG Su, 16 SWG Cu","SE, SE","one, one","0.6, 0.9","Std bobbin suitable for Type-43,2 1/2"" stack-F/G-1No","56x69, 73x86","72x85, 91x104","68, 68","8, 9","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil class-'H' insulation,2,"Type-43,2 1/2"" stack",-,-,51 CRGO,96,7.125,Std,10 W,25 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,"205 200 335, 4 Nos",205 603 338x2 Nos,GA 105 009 378,08.12.2011
67,KAB 2459,INVERTER,,1.4mH,,single,,,,,,Cont,AN,H,,29,,50,one ,one ,29,L-R,12,3,4x3 Cu,F/G covered,one,1.1,"Std bobbin suitable for Type-43,3"" stack-F/G-1No",56x82,82x108,68,13,6 Mil class -'H' insulation,-,-,-,-,-,-,-,Same conductor,-,6,"Type-43,3"" stack",-,-,51 CRGO,96,8.6,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 335, 4 Nos","205 603 338,1 No",105 009 379 *,17.11.2011
68,KAB 2456,BUCK BOOST,,,113.8,single,,23,single,0.75,,Cont,AN,H,,153/31,0.744,50,"one Py, one Sy","one, one","153,31","L-R, L-R","42, 15 1/2","4,2","14 SWG Cu,11 SWG Cu","SE,SE","one, 2 SS","1.3, 1.5","Std bobbin suitable for Type-8,sq.stack-F/G-1 Nos","56x56, 81x81","80x80, 97x97","110, 110","12, 8","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil class-'H' insulation,10,"Type-8,sq.stack",-,-,51 CRGO,96,8,Std,12 W,38 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,205 200 326x4 Nos,205 603 337x2 Nos,GA 105 009 400,07.12.2011
69,KAB 2455,INPUT,,,415,single,,230,single,7.5,,Cont,AN,H,,180/100,2.3,50,"2 Py, 2 Sy","one, one","90,50","L-R, L-R","30, 16 2/3","3,3","10 SWG Cu, 5x3 Cu","SE, F/G covered","one, one","7,9",DRG.No: 105 102 413 -P29-2 Nos,"79x147,115x183","103x171, 141(145)x209(215)","110(120), 108(120)","12,13","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10,10",-,"Series at Finish, Series at Finish",-,"Same conductor,Same conductor",6 thick F/G duct,20,70x110,165,140,41 CRGO,96,45,DPD 105 102 329-P12,60 W,200 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,GA 105 009 925 P13,06.12.2011
70,KAB 2454,INPUT SERIES,,0.51mH,,single,,,,,,Cont,AN,H,,19,,50,one ,one ,19,L-R,9 1/2,2,11 SWG Cu,SE,2 SS,0.65,"Std bobbin suitable for Type-43,sq.stack-F/G-1 Nos",56x56,70x70,68,7,6 Mil class -'H' insulation,-,-,-,-,-,-,-,Same conductor,-,10,"Type-43,sq.stack",-,-,51 CRGO,96,5.7,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 335,4 Nos","205 603 338,1 No",105 009 375 *,16.11.2011
71,KAB 2453,INVERTER,,,147,single,,230,single,6,,Cont,AN,H,,102/160,1.44,50,"2 Py, 2 Sy","one, one","51,80","L-R, L-R","12 3/4, 20","4, 4","7x3 Cu, 4x3 Cu","F/G covered, F/G covered","one, one","9,12",DRG.No: 105 102 372-P33-2 Nos,"79x117, 134x172","114x152, 169(175)x207(215)","112(125), 105(125)","17.5, 17.5","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"7,7",-,"Series at Finish, Series at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,20,70x80,195,140,41 CRGO,96,35.5,DPD 105 102 329-P11,45 W,260 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 925 P12,15.11.2011
72,KAB 2452,CHARGER,,,415,3 Ph  star,,168,3 Ph  Delta,8.7,Y d1,Cont,AN,H,,209/147,1.148,50,"3 Py, 3 Sy","one, one","209,147","L-R, L-R","52 1/4, 49","4,3 ","12 SWG Cu,10 SWG Cu","SE,SE","one, one","13.5, 19",DRG.No: 105 102 413-P-24-3 Nos,"79x102,118x141","106x129,142(147)x165(170)","158(190), 178(190)","13.5, 12","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,"10, 10",-,"Star at Finish, Delta",-,"Same conductor,Same conductor",6 thick F/G duct,18,70x65,165,210,41 CRGO,96,51,DPD 105 102 287-P25,60 W,400 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930 P18,12.11.2011
73,KAB 2451,D.C FILTER,,2mH,52,single,,,,,,Cont,AN,F,,30+30=60,,300,2,one,30,L-R,7 1/2,4,12x3 Cu,F/G Covered,one,9,DRG.No: 105 102 413-P16-2 Nos,79x112,113(115)x146(150),112(125),17,6 Mil Nomex,-,-,-,10,-,Series at Finish,-,Same conductor,-,20,70x75,135,145,M27 CRNGO 0.35 thick,96,28,DPD 105 102 419-P5,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 942 P3,10.11.2011
74,KAB 2450,CHARGER,,,415,3 Ph  Delta,,129,3 Ph  star,13.63,Dy 11,Cont,AN,F,,233/42,1.78,50,"3 Py, 3 Sy","one, one","233, 33","L-R, L-R","58 1/4, 21","4,2","12 SWG Cu, 7x4 Cu","SE, F/G covered","one, one","17.5, 20.5",DRG. No:105 102 372-P9-3 Nos,"79x137, 118x176","106x164, 139(145)x197(205)","174(190), 172(190)","13.5, 10.5","6 Mil Nomex, 6 Mil Nomex",-,-,-,"10,10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",6 thick F/G duct,20,70x100,165,210,M27 CRNGO 0.35 thick,96,77,DPD 105 102 398-P6,140 W,460 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930 P17,05.11.2011
75,KAB 2449,D.C FILTER,,2mH,52,single,,,,,,Cont,AN,F,,41+41=82,,300,2,one,41,L-R,13 2/3,3,7x4 Cu,F/G Covered,one,8.3,DRG.No: 105 102 413-2 Nos,59x107,91(95)x139(145),118(130),16,6 Mil Nomex,-,-,-,8,-,Series at Finish,-,Same conductor,-,20,50x70,115,150,M27 CRNGO 0.35 thick,96,17,DPD 105 102 419-P4,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,,,105 009 945 P1,02.11.2011
76,KAB 2448,CHARGER,,,415,3 Ph  Delta,,116.5,3 Ph  star,9.9,Dy 11,Cont,AN,F,,270/44,1.537,50,"3 Py, 3 Sy","one, one","270,44","L-R, L-R","67 1/2, 22","4, 2","14 SWG Cu, 7x3 Cu","SE, F/G covered","one, one","11.5, 14.6",DRG.No:105 102 413 -P22-3 Nos,"79x122, 115x158","103x146, 131(135)x174(180)","160(190), 180(190)","12,8","6 Mil Nomex, 6 Mil Nomex",-,-,-,"10, 10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",6 thick F/G duct,20,70x85,155,210,M27 CRNGO 0.35 thick,96,64.5,DPD 105 102 398-P5,120 W,400 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930 P16,29.10.2011
77,KAB 2446,D.C FILTER,,3mH,130,single,,,,,,Cont,AN,H,,51+51=102,,100,2,one,51,L-R,17,,10 SWG Cu,SE,one,3.4,DRG.No:105 102 413-P31-2 Nos,59x127,83(85)x151(155),85,12,6 Mil class-'H'insulation,-,-,-,8,-,Series at Finish,-,Same conductor,-,20,50x90,105,102,41 CRGO,96,18,DPD 105 102 402-P4,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 945 P2,19.12.2011
78,KAB 2445,CHARGER,,,240,single,,150,single,3,,Cont,AN,H,,110/69,2.18,50,"one Py, one Sy","one, one","110,69","L-R, L-R","36, 18","4, 4","12 SWG Cu, 12 SWG Cu","SE,SE","one, 2 SS","2.5, 3.9","Std bobbin suitable for Type-83,4""Stack-F/G-1 No","82x107, 109x134","108x133, 135x160","110, 110","13, 13","6 Mil class-'H' insulation,6 Mil class-'H' insulation",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil class-'H' insulation,5,"Type-8B,4""stack",-,-,51 CRGO,96,27.5,Std,40 W,80 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,"205 200 327,4 Nos","205 603 336, 2 Nos",105 009 399,16.12.2011
79,KAB 2541,SERIES,,0.38mH,5.5,single,,,,,,Cont,AN,H,,17,,50,one,one,17,L-R,7,3,7x3 Cu,F/G covered,one,1,"Std bobbin suitable for Type-43,sq.stack-F/G-1 Nos",56x56,83x83,68,13.5,6 Mil class-'H'insulation,-,-,-,-,-,-,-,Same conductor,-,5,"Type-43,sq.stack",-,-,51 CRGO,96,5.7,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 335x4,DPD 205 603 338x1,105 009 375 *,05.07.2012
80,KAB 2540,BOOST,,,110,single,,44,single,5,,Cont,AN,H,,80/32,1.375,50,"2 Py, 2 Sy","one, one","40,16","L-R, L-R","20,16","2, one","7x3 Cu, 10x3 Cu","F/G covered, F/G covered",one. 2 ab,"6.8,9.8",DRG.No:105 102 413-P42-2 Nos,"79x122,108x151","96x139, 124(130)x167(175)","165(200), 186(200)","8.5, 8","6 Mil class-'H'insulation, -",-,-,-,"10,10",-,"Series at Finish, Series at Finish",-,"Same conductor,Same conductor",6 thick F/G duct,20,70x85,150,220,41 CRGO,96,41,DPD 105 102 329- P15,50 W,200 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,GA 105 009 925 P17,04.07.2012
81,KAB 2539,3 Ph  To 1 Ph ,,,415,3 Ph  Open Delta,,220,Rev Open Delta,25,,Cont,AN,H,,117/36,3.547,50,"2 Py, 2 Sy","one, one","117,36","L-R, L-R","39,36","3, 1","6x3 Cu,6x3 Cu","F/G covered, F/G covered","one, 3 ab","23, 28.5",DRG.No: 105 102 372-P41-2 Nos,"109x167, 156x214","136x194, 179(184)x237(245)","272(290), 255(290)","13.5, 11.5","6 Mil Nomex, -",-,-,-,"10, 10",-,"Open Delta, Series at start",-,"Same conductor,Same conductor",10 thick F/G duct,23,100x130,165,310,41 CRGO,96,178,DPD 105 102 340 -P26,220 W,550 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,GA 105 009 900 P7,02.07.2012
82,KAB 2538,INPUT SERIES,,0.12mH,5,single,,,,,,Cont,AN,H,,8,,50,one,one,8,L-R,5,2,8x4 Cu,F/G Covered,2 SS,2,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56x107,76x127,110,10,6 Mil class -'H' insulation,-,-,,-,-,-,-,Same Conductor,-,15,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 326x4,DPD 205 603 337x1,105 009 402 *,29.06.2012
